task,family,variant,params_json,mean_fit_time,std_fit_time,mean_test_rmse,std_test_rmse,mean_train_rmse,mean_test_mae,std_test_mae,mean_train_mae,mean_test_r2,std_test_r2,mean_train_r2,candidate_id,split0_test_rmse,split0_train_rmse,split1_test_rmse,split1_train_rmse,split2_test_rmse,split2_train_rmse,split3_test_rmse,split3_train_rmse,split4_test_rmse,split4_train_rmse,split5_test_rmse,split5_train_rmse,split6_test_rmse,split6_train_rmse,split7_test_rmse,split7_train_rmse,split8_test_rmse,split8_train_rmse,split9_test_rmse,split9_train_rmse,rank_test_rmse
direct_tensile_modulus,baseline,raw,{},0.00337948799133,0.000559456958002,3.08731029192,0.257094369841,3.09435439263,2.48289883511,0.211861844568,2.47977570346,-0.0150611779029,0.0235179490295,0,direct_tensile_modulus:baseline:raw:44136fa355,3.22214345662,3.0802162949,3.49058388751,3.04722247922,3.28212693426,3.0730173999,3.08252093451,3.09716672056,2.46590990648,3.15769702585,3.1989268393,3.08280052364,3.06875315465,3.09755173015,3.15812854227,3.08762324786,2.92356535584,3.1132493449,2.98044390773,3.10699915933,
direct_tensile_modulus,ridge,iqr_filtered,"{""estimator__model__alpha"": 100.0}",0.0146819591522,0.00119997291703,3.11132508418,0.255041103304,3.06248071233,2.50716090627,0.209721249457,2.46071460518,-0.0317673167859,0.0452470817381,0.0204949592813,direct_tensile_modulus:ridge:iqr_filtered:aa6e7d121f,3.26923229271,3.05006169442,3.4590364401,3.01870606254,3.28316153769,3.03943406174,3.07152046239,3.06492321259,2.47335152888,3.13135422823,3.21355270452,3.05107962089,2.99000546103,3.07686451828,3.23911379909,3.04901369913,2.95934252098,3.08036688571,3.15493409442,3.06300313974,1
direct_tensile_modulus,ridge,raw,"{""model__alpha"": 100.0}",0.0048196554184,0.00040149151355,3.11374110984,0.264358388625,3.05994919148,2.50982939249,0.218391951657,2.45857721085,-0.0325328448231,0.0385498291884,0.0221144988324,direct_tensile_modulus:ridge:raw:d760ee1674,3.24723969006,3.04818406911,3.48772355016,3.01596487866,3.30039983219,3.0372383941,3.09528573441,3.06222836641,2.45136119205,3.12898797078,3.2231784832,3.04703354609,2.99866299612,3.07427822029,3.25304994097,3.04662290808,2.96340212475,3.07779654525,3.11710755447,3.061157016,1
direct_tensile_modulus,ridge,iqr_filtered,"{""estimator__model__alpha"": 10.0}",0.0146609783173,0.000528666060675,3.12024578747,0.256680100664,3.06244498121,2.51569858643,0.211309025406,2.46152068139,-0.0379318169503,0.0521834932799,0.0205187065801,direct_tensile_modulus:ridge:iqr_filtered:44b5e286ac,3.28179448191,3.05021667129,3.45814232158,3.01905301991,3.29021994421,3.03838594234,3.07820510762,3.0650981798,2.47713217032,3.13190562914,3.21856716255,3.05024694656,2.98150723898,3.07703127734,3.2557522546,3.04893857739,2.97126421459,3.08054140722,3.18987297837,3.06303216113,2
direct_tensile_modulus,gradient_boosting,iqr_filtered,"{""estimator__model__learning_rate"": 0.03, ""estimator__model__max_depth"": 2, ""estimator__model__n_estimators"": 150}",0.329185366631,0.0246012007179,3.12024610331,0.276788218319,2.84716217556,2.49294316874,0.22756398821,2.27438910326,-0.0362993774442,0.0403745062673,0.153358070742,direct_tensile_modulus:gradient_boosting:iqr_filtered:9dcb62daed,3.35487621154,2.83915235552,3.51929840468,2.80943559475,3.23748976723,2.82003969136,3.09279332185,2.85447066344,2.47093636188,2.9091475756,3.25764158415,2.86746395738,3.05108845685,2.85281769496,3.28647312738,2.81383179843,2.87427272127,2.86753291984,3.05759107628,2.83772950433,1
direct_tensile_modulus,ridge,iqr_filtered,"{""estimator__model__alpha"": 1.0}",0.0144819498062,0.000466044097754,3.12138785235,0.256908292591,3.06252698661,2.51683942828,0.211533609671,2.4616660459,-0.038722130948,0.0530289327569,0.0204663710448,direct_tensile_modulus:ridge:iqr_filtered:164774b964,3.28338031511,3.05032667604,3.45811286736,3.01917550177,3.29118874075,3.03834258027,3.0791036293,3.06521250487,2.47765159565,3.1320476775,3.2192047722,3.05021809435,2.98058851866,3.07711102879,3.25776982198,3.04902422764,2.9727506174,3.08065355984,3.19412764504,3.06315801504,3
direct_tensile_modulus,ridge,iqr_filtered,"{""estimator__model__alpha"": 0.1}",0.0177850484848,0.00351109412524,3.12150517542,0.256931941697,3.06253634606,2.51695849537,0.211552061814,2.46168184465,-0.0388033338061,0.0531153046255,0.0204603964676,direct_tensile_modulus:ridge:iqr_filtered:ea1b3aa928,3.28354299408,3.05033896401,3.4581107692,3.01918892358,3.29128898988,3.03833912038,3.07919639361,3.06522524496,2.477705337,3.13206303355,3.21927022075,3.05021596356,2.9804959881,3.07711985321,3.25797583898,3.04903403964,2.97290286038,3.08066604622,3.1945623622,3.06317227149,4
direct_tensile_modulus,ridge,iqr_filtered,"{""estimator__model__alpha"": 0.01}",0.0149688720703,0.000662387882161,3.12151693965,0.256934315142,3.06253729398,2.51697042369,0.211553913473,2.4616834273,-0.0388114763404,0.0531239604654,0.0204597913536,direct_tensile_modulus:ridge:iqr_filtered:5b31c40713,3.28355930392,3.05034020612,3.45811056817,3.01919027787,3.29129904941,3.03833878349,3.07920569992,3.06522653248,2.4777107296,3.13206458102,3.21927678288,3.05021575829,2.98048672853,3.07712074443,3.25799648415,3.0490350337,2.97291812151,3.08066730798,3.19460592842,3.0631737144,5
direct_tensile_modulus,ridge,raw,"{""model__alpha"": 10.0}",0.00475299358368,0.000405653630411,3.12205260027,0.266819820356,3.0592937785,2.51751839619,0.220682234672,2.45834689376,-0.0381096120469,0.0433628144925,0.0225333806026,direct_tensile_modulus:ridge:raw:874fdc3bb1,3.25496514835,3.04755135264,3.49096410983,3.0153689217,3.3109037463,3.03649099107,3.10243383719,3.06155295245,2.45223730805,3.12848140076,3.22939117684,3.04638741022,2.99224780335,3.07383832954,3.27200005764,3.0458520876,2.97306068156,3.07712872288,3.14232213361,3.06028561617,2
direct_tensile_modulus,ridge,raw,"{""model__alpha"": 1.0}",0.00497863292694,0.000339207848849,3.12309259195,0.267132649917,3.05928518098,2.51852674778,0.220963374228,2.45834600387,-0.0388088215991,0.0439462009062,0.0225388749011,direct_tensile_modulus:ridge:raw:f682360510,3.25593330524,3.04754300835,3.49140266808,3.01536110595,3.31226425383,3.03648105338,3.10335101317,3.06154407738,2.45238344696,3.12847483338,3.23015352288,3.04637901187,2.99156309016,3.07383256304,3.27428468836,3.04584199801,2.97424126116,3.07711998817,3.14534866967,3.06027417027,3
